movie_name,year,tags
the vaccine war,2023,"drama thriller based on india's battle against covid-19, and the efforts the medical department took to overcome the global crisis. vivek agnihotri nivedita bhattacharya anupam kher girija oak nana patekar "
jab we met,2007,comedy drama romance a depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman. imtiaz ali shahid kapoor kareena kapoor tarun arora dara singh randhawa 
k.g.f: chapter 1,2018,"action crime drama in the 1970s, a gangster named rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the k.g.f. prashanth neel yash srinidhi shetty ramachandra raju archana jois "
mimi,2021,"comedy drama mimi is introduced by bhanu to an american couple as a surrogate in exchange for rs 2 million. she decides to have the baby even when they change their mind and tells her parent that bhanu is the father. rajesh bhatia, laxman utekar kriti sanon evelyn edwards pankaj tripathi sai tamhankar "
afwaah,2023,drama thriller an advertising professional and a political heiress whose lives are upended by a viral social media rumour. sudhir mishra nawazuddin siddiqui t.j. bhanu bhumi pednekar eisha chopra 
godfather,2022,"action crime drama after the death of a political leader, a mysterious man steps in to ascend the throne. mohan raja chiranjeevi salman khan nayanthara satyadev kancharana "
laila majnu,2018,"drama romance taking the leap out of the classic folklore, the story is set in today's time in kashmir where laila majnu have problems relevant to the youth of today. while dealing with their feuding families a passionate love story unravels. sajid ali avinash tiwary triptii dimri sumit kaul abrar qazi "
ghajini,2008,action drama mystery a short-term memory loss patient goes on a killing spree in order to avenge the death of his ladylove. a.r. murugadoss aamir khan asin thottumkal jiah khan aamir naik 
jab harry met sejal,2017,comedy drama romance a depressed middle-aged tour guide who lives in his own bubble gets another chance to experience and face reality through a chirpy girl. imtiaz ali shah rukh khan anushka sharma björn freiberg bruce huther 
barfi!,2012,comedy drama romance three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal. anurag basu ranbir kapoor priyanka chopra jonas ileana d'cruz saurabh shukla 
mumbai meri jaan,2008,"drama a moving portrayal of the 2006 train bombings in mumbai, this indian drama follows the interconnected stories of several strangers. nishikant kamat paresh rawal kay kay menon irrfan khan madhavan "
ludo,2020,"action comedy crime from a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal. anurag basu pankaj tripathi abhishek bachchan rajkummar rao fatima sana shaikh "
haider,2014,"action crime drama a young man returns to kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate. vishal bhardwaj shahid kapoor tabu shraddha kapoor kay kay menon "
mission majnu,2023,"action drama history in the 1970s, an undercover indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of pakistan. shantanu bagchi sidharth malhotra rashmika mandanna parmeet sethi zakir hussain "
talaash,2012,"crime drama mystery inspector surjan shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of rosie. reema kagti, priyamvada narayanan aamir khan kareena kapoor rani mukerji nawazuddin siddiqui "
ae dil hai mushkil,2016,"drama music musical this story explores love - the shapes it takes, the ways it changes us and the exhilarating and often terrifying ride it takes us on. it is the journey of two characters, alizeh and ayan, as they navigate life, love and heartbreak. karan johar ranbir kapoor aishwarya rai bachchan anushka sharma fawad khan "
a wednesday,2008,action crime drama a retiring police officer reminisces about the most astounding day of his career. about a case that was never filed but continues to haunt him in his memories - the case of a man and a wednesday. neeraj pandey anupam kher naseeruddin shah veerendra saxena mahesh kanual 
wajah tum ho,2016,drama mystery romance people get entangled in a mystery when a murder is committed on live television. vishal pandya sharman joshi sana khan gurmeet choudhary rajneesh duggal 
